id	team	year	stats_league	is_pitcher	is_new	is_foreign	games_played	plate_appearances	singles	doubles	triples	home_runs	strikeouts	bases_on_balls	runs
817	yok	2009	npb	true	false	false	31	561	117	0	0	19	69	43	63
2554	rak	2009	npb	true	false	false	54	283	50	0	0	8	71	25	29
820	lot	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
833	sft	2009	npb	false	false	false	39	106	19	5	1	2	22	5	12
3196	nip	2009	npb	false	false	false	89	160	27	4	1	1	40	9	32
3193	nip	2009	npb	false	false	false	120	425	67	21	1	6	83	29	32
827	hir	2009	npb	false	false	false	98	316	59	11	1	3	49	25	22
3036	orx	2009	npb	true	false	false	25	616	131	0	0	9	89	45	62
2540	rak	2009	npb	false	false	false	13	7	0	0	0	0	2	0	1
824	lot	2009	npb	false	false	false	23	50	7	1	0	2	16	1	5
835	yok	2009	jindust	true	true	false	0	0	0	0	0	0	0	0	0
3532	hir	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
829	hir	2009	juniv	true	true	false	0	0	0	0	0	0	0	0	0
3644	hir	2009	npb	true	false	true	26	170	37	0	0	4	31	17	21
2641	chu	2009	npb	false	false	false	59	161	20	8	0	4	34	10	15
828	orx	2009	npb	true	false	false	36	688	120	0	0	14	151	42	55
3467	yom	2009	npb	false	false	false	104	233	39	11	1	0	42	9	20
845	han	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
3354	sei	2009	npb	false	false	false	18	45	5	2	0	1	5	4	7
846	lot	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
2645	chu	2009	npb	false	false	false	77	77	11	2	1	1	23	2	10
849	yok	2009	npb	true	false	false	30	345	77	0	0	8	52	33	44
841	sft	2009	npb	true	false	false	40	172	46	0	0	2	20	12	15
3107	yom	2009	npb	true	false	false	6	74	17	0	0	0	14	4	5
848	rak	2009	jindust	false	true	false	0	0	0	0	0	0	0	0	0
3547	yok	2009	npb	false	false	false	0	0	0	0	0	0	0	0	0
3469	lot	2009	npb	true	false	false	33	412	94	0	0	10	70	33	52
2840	hir	2009	npb	false	false	false	144	615	130	31	1	23	68	42	69
3126	han	2009	npb	true	false	false	69	373	79	0	0	8	75	34	34
3051	sei	2009	npb	false	false	false	138	612	122	31	3	11	61	49	76
2612	hir	2009	npb	false	false	false	48	128	17	6	0	2	23	4	8
843	yok	2009	npb	false	false	false	1	1	0	0	0	0	0	0	0
847	rak	2009	npb	false	false	false	118	365	71	15	0	3	33	20	36
2086	yok	2009	npb	true	false	false	3	70	18	0	0	3	7	5	13
3425	yok	2009	npb	false	false	false	6	6	0	0	0	0	2	0	1
555	yom	2009	npb	false	false	false	35	39	5	1	0	2	12	2	3
556	orx	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
2979	yak	2009	npb	false	false	false	20	33	5	1	0	0	5	4	3
558	yok	2009	npb	false	false	false	0	0	0	0	0	0	0	0	0
562	lot	2009	npb	false	false	false	10	23	1	0	0	1	4	4	2
2923	yak	2009	npb	true	false	false	16	103	28	0	0	5	19	8	16
3517	yom	2009	npb	false	false	false	96	298	45	21	3	5	43	14	41
2986	orx	2009	npb	true	false	false	1	10	2	0	0	0	0	5	3
3375	nip	2009	npb	true	false	false	10	52	13	0	0	1	7	5	7
2674	orx	2009	npb	true	false	false	4	81	18	0	0	5	8	7	12
3185	lot	2009	npb	false	false	false	15	47	9	2	1	0	11	2	5
3181	lot	2009	npb	true	false	false	4	28	8	0	0	1	2	2	4
3346	sft	2009	npb	false	false	false	32	44	3	1	0	0	12	4	6
3881	nip	2009	npb	false	false	false	96	331	45	16	0	2	76	20	24
567	nip	2009	npb	false	false	false	6	9	0	0	0	0	5	0	0
3992	han	2009	npb	false	false	false	144	623	102	33	2	27	99	77	87
570	han	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
2145	han	2009	npb	true	false	false	8	186	44	0	0	5	38	11	25
571	yom	2009	npb	true	false	false	8	117	33	0	0	2	18	12	21
2895	han	2009	npb	false	false	false	12	9	1	1	0	0	0	0	2
591	rak	2009	jhs	true	true	false	0	0	0	0	0	0	0	0	0
592	yom	2009	jhs	true	true	false	0	0	0	0	0	0	0	0	0
2481	rak	2009	npb	false	false	false	63	108	15	2	1	1	18	12	7
594	rak	2009	npb	true	false	false	18	346	66	0	0	4	71	35	35
3197	orx	2009	npb	true	false	false	63	260	54	0	0	6	65	17	24
2651	yom	2009	npb	false	false	false	28	38	5	1	0	1	9	1	2
2960	yok	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
598	chu	2009	juniv	false	true	false	0	0	0	0	0	0	0	0	0
3379	yom	2009	npb	true	false	false	14	54	12	0	0	4	7	4	11
600	lot	2009	jindust	true	true	false	0	0	0	0	0	0	0	0	0
3356	orx	2009	npb	true	false	false	32	191	41	0	0	2	20	13	18
2765	han	2009	npb	false	false	false	112	262	46	12	3	1	48	16	24
601	sft	2009	npb	true	false	false	9	88	18	0	1	3	11	11	10
602	yak	2009	npb	false	false	false	65	115	22	4	0	1	20	5	11
3395	rak	2009	npb	true	false	false	54	231	47	0	0	2	47	20	14
